#Plane_1x1
#Card       tzero  t_zero_err      entries
0    1.90434     0.87987             4288
1    -4.08642     0.14792             96348
2    1.72698     0.11196             140931
3    -5.56380     0.13398             178033
4    -6.38102     0.12521             237943
5    -5.41552     0.09558             290475
6    -5.91411     0.16113             131795
