#Plane_2u2
#Card       tzero  t_zero_err      entries
0    -2.53544     0.20728             18645
1    -2.47404     0.08230             114378
2    -1.74233     0.05994             251017
3    91.68301     1.46682             332615
4    9.06391     0.24085             244736
5    7.00398     0.38007             81844
