#Plane_1x2
#Card       tzero  t_zero_err      entries
0    -9.39217     0.86172             5354
1    -4.88763     0.14199             101040
2    -6.88220     0.18187             142587
3    -5.04966     0.11155             181956
4    -3.94909     0.09133             236017
5    -3.54266     0.09549             284388
6    3.45217     0.17775             125935
