#Plane_1v2
#Card       tzero  t_zero_err      entries
0    -5.75905     0.42641             12366
1    -5.57270     0.14706             110228
2    -4.41087     0.09049             260700
3    95.59036     1.52092             351452
4    5.79385     0.20797             221409
5    2.43436     0.19933             70237
