#Plane_1u1
#Card       tzero  t_zero_err      entries
0    2.37718     0.55340             10983
1    -1.68678     0.08130             105266
2    -5.38774     0.09764             276982
3    -4.58598     0.07323             368006
4    -6.75382     0.13001             266258
5    98.13933     3.14766             61132
